(1.0, (45, 25), None)
(24.970562748477146, (25, 13), (26, 14))
(25.041630560342625, (28, 18), (29, 17))
(25.041630560342625, (27, 8), (28, 9))
(25.142135623730955, (28, 7), (29, 8))
(25.213203435596434, (35, 4), (36, 5))
(25.213203435596434, (30, 6), (31, 7))
(25.242640687119284, (26, 10), (27, 11))
(25.242640687119284, (48, 1), (48, 2))
(25.242640687119284, (42, 1), (42, 2))
(25.242640687119284, (48, 1), (48, 2))
(25.313708498984763, (42, 1), (42, 2))
(25.384776310850242, (37, 3), (38, 4))
(25.384776310850242, (32, 5), (33, 6))
(25.384776310850242, (25, 16), (26, 15))
(25.384776310850242, (25, 12), (26, 13))
(25.45584412271572, (27, 18), (28, 17))
(25.48528137423857, (27, 7), (28, 8))
(25.55634918610405, (39, 2), (39, 3))
(25.55634918610405, (34, 4), (35, 5))
(25.55634918610405, (24, 14), (25, 14))
(25.62741699796953, (29, 19), (29, 18))
